# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
1k1rq3/pp1n1p2/2p1p1pr/3pPn1p/PP1P4/2P2N2/3NQPPP/3RR1K1 w - - 0 17,121
1k1rq3/pp1n1p2/2p1p1pr/3pPnN1/PP1P3p/2P5/3NQPPP/3RR1K1 w - - 0 18,137
1k1r4/pp1nqp2/2p1p1pr/1P1pPnN1/P2P3p/2P2N2/4QPPP/3RR1K1 b - - 0 19,48
3r4/p1knqp2/2p1p1p1/3pPnNr/P2P3p/2P2N2/3Q1PPP/1R2R1K1 b - - 3 22,266
3r4/p1knqp2/2p1p1p1/3pPnNr/P2P3p/1RP2N2/3Q1PPP/5RK1 b - - 7 24,352
8/p1kNqr2/2p1p1p1/3p1n1r/P2P3p/1RP5/3Q1PPP/5RK1 w - - 0 29,591
8/p1k1q1r1/2pnp1p1/3pN2r/P2P3p/1RP5/3Q1PPP/1R4K1 w - - 4 31,728
8/p1k1q1r1/2pnp1p1/P2pN2r/3P3p/1RP5/3Q1PPP/1R4K1 b - - 0 31,531
8/p1k1q1r1/2pnp1p1/P2pNr2/3P3p/1RP5/3Q1PPP/1R4K1 w - - 1 32,628
8/p1k1q1r1/P1pnp1p1/3pNr2/3P3p/1RP5/3Q1PPP/1R4K1 b - - 0 32,584
5q2/p1k3r1/P1pnp1p1/3pNr2/3P3p/1RP5/3Q1PPP/1R4K1 w - - 1 33,783
5q2/p1k3r1/P1pnp3/3pNrp1/3P2Pp/1RP5/4QP1P/1R4K1 b - g3 0 34,459
5q2/p1k3r1/P1pnpr2/3pN1p1/3P2Pp/1RP4P/4QP2/1R4K1 b - - 0 35,629
5q2/p1k1r3/P1pnpr2/3pN1p1/3P2Pp/1RP2P1P/4Q3/1R4K1 b - - 0 36,550
8/p1k1r1q1/P1pnpr2/3pN1p1/3P2Pp/1RP2P1P/4Q3/1R4K1 w - - 1 37,714
8/p1k1r1q1/P1pnpr2/3pN1p1/2PP2Pp/1R3P1P/4Q3/1R4K1 b - - 0 37,519
8/p1k1r1q1/P1pnp3/4N1p1/3r2Pp/1R3P1P/4Q3/2R3K1 b - - 1 40,663
8/p2kr3/P2np3/4Q1p1/3r2Pp/1R3P1P/8/2R3K1 b - - 0 43,1000
8/p2kr3/P2np3/3rQ1p1/6Pp/1R3P1P/8/2R3K1 w - - 1 44,1000
8/p2kr3/P3p3/1n1r2p1/5PPp/1R2Q2P/8/2R3K1 b - - 0 45,986
8/p2kr3/P3p3/1n1r4/5QPp/1R5P/8/2R3K1 b - - 0 46,1018
8/p2kr3/P7/1n1rp3/2Q3Pp/1R5P/8/2R3K1 b - - 1 47,1173
1k1r1b1r/ppqnnpp1/2p1p3/3pP2p/3P2P1/2P2N2/PP2BP1P/R1BQ1RK1 w - - 0 13,452
1k1r1b1r/ppqnnpp1/2p1p3/3pP1Pp/3P4/2P2N2/PP2BP1P/R1BQ1RK1 b - - 0 13,46
1k1r1b1r/ppqnn3/2p1pp2/3p2Pp/3P4/2P2N2/PP2BP1P/R1BQ1RK1 w - - 0 15,-5
1k1r1b1r/ppqnn3/2p1pp2/3p2Pp/3P3P/2P2N2/PP2BP2/R1BQ1RK1 b - - 0 15,-128
1k1r1b2/ppqnn2r/2p1pp2/3p2Pp/3P3P/2P2N2/PP2BP2/R1BQ1RK1 w - - 1 16,33
1k1r1b2/ppqnn2r/2p1pp2/3p2Pp/3P3P/P1P2N2/1P2BP2/R1BQ1RK1 b - - 0 16,-127
1k1r4/ppqnn1br/2p1pp2/3p2Pp/3P3P/P1PB1N2/1P3P2/R1BQ1RK1 b - - 2 17,87
1k1r3r/ppqnn1b1/2p1pp2/3p2Pp/3P3P/P1PB1N2/1P3P2/R1BQR1K1 b - - 4 18,111
1k1r3r/ppqnn1b1/2p5/3pp1Pp/3P1B2/P1PB1N2/1P3P2/R2QR1K1 b - - 1 20,157
1k1r1b1r/ppqnR3/2p5/3p2Pp/3P1p2/P1PB1N2/1P3P2/R2Q2K1 w - - 1 22,308
1k1r3r/ppqn2b1/2p1R1P1/3p3p/3P1p2/P1PB1N2/1P3P2/R2Q2K1 b - - 0 23,105
1k1r3r/pp4b1/1n2R1P1/2qp3p/5p2/P1PB1N2/1P2QP2/R5K1 w - - 0 26,299
1k1r3r/pp4b1/1n2R1P1/2qp4/5p1p/P1PB1N2/1P2QP2/4R1K1 w - - 0 27,421
1k1r3r/ppq1R1b1/1n4P1/3p4/5p1p/P1PB1N2/1P1Q1P2/4R1K1 b - - 3 28,424
1k5r/ppqrR1b1/1n4P1/3p4/5p1p/P1PB1N2/1P1Q1P2/4R1K1 w - - 4 29,397
4r2r/pp4b1/1nk3P1/3p4/5Q1N/P1PB4/1P3P2/6K1 b - - 0 33,518
7r/pp4b1/1nk3P1/3p4/5Q1N/P1PB4/1P3PK1/3r4 w - - 3 35,635
7r/pp4N1/1n1Q2P1/1k1p4/8/P1Pr4/1P3PK1/8 b - - 0 37,494
7r/pp4N1/kn1Q2P1/3p4/8/P1Pr4/1P3PK1/8 w - - 1 38,799
2r5/pp6/kn1QN1P1/3p4/8/P1Pr4/1P3PK1/8 w - - 3 39,795
8/ppQ5/kn4P1/3p4/8/P1Pr4/1P3PK1/8 b - - 0 40,758
8/ppQ3P1/kn6/8/3p4/P1P5/5PK1/8 b - - 0 42,1045
1k3br1/ppq1nNpp/2prpn2/3p4/3P1BP1/2P5/PP2BP1P/R2Q1RK1 b - - 5 16,108
1k4r1/pp4pp/2pqpnn1/3p4/Q2P2P1/2P5/PP2BP1P/R4RK1 b - - 1 19,20
1k4r1/pp2n1pp/2pqpn2/3p4/Q2P2P1/2P5/PP2BP1P/R4RK1 w - - 2 20,160
1k4r1/pp2n1pp/2pqp3/3p4/Q2Pn1P1/2P5/PP2BP1P/R3R1K1 w - - 4 21,175
1k4r1/pp2n2p/2pqp1p1/3p2n1/3P2P1/2P2P2/PP2B2P/R2QR1K1 w - - 0 23,379
1k4r1/pp2n2p/2pqp1p1/3p4/3P2P1/2P2P1n/PP1QB1KP/R3R3 b - - 3 24,228
1k1r4/pp2n3/2pqp1p1/3p3p/1P1P1nP1/2P2P2/P2QB2P/R3R2K w - - 0 27,267
1k1r4/pp6/2pqp3/3p1n1p/1P1P4/2P2P2/P3Q2P/R3R2K b - - 2 30,466
1k2r3/pp6/2pqp3/3p1n2/PP1P3p/2P2P2/4Q2P/R3R2K w - - 0 32,378
1k2r3/pp6/2p1p3/4P3/PP1n3p/5P2/7P/R4R1K b - - 1 35,338
1k3r2/pp6/2p1p3/4P3/PP1n3p/5P2/7P/R4R1K w - - 2 36,351
1k3r2/pp6/2p1p3/4P3/PP5p/5P2/5K1P/R7 b - - 0 38,-67
1k3r2/p7/1pp1p3/4P3/PP5p/5P2/5K1P/R7 w - - 0 39,71
1k3r2/p7/1pp1p3/4P3/PP5p/5P2/5K1P/2R5 b - - 1 39,66
1k6/p7/1pp1p3/4Pr2/PP5p/5P2/5K1P/2R5 w - - 2 40,106
1k6/p7/2R1p3/Pp2r3/1P5p/5P1P/5K2/8 b - - 0 42,54
8/pk6/2R1p3/Pp2r3/1P5p/5P1P/5K2/8 w - - 1 43,63
8/pk6/3Rp3/Pp2r3/1P5p/5P1P/5K2/8 b - - 2 43,46
1k6/p7/3Rp3/Pp2r3/1P5p/5P1P/5K2/8 w - - 3 44,155
k7/p7/8/Pp1rp3/1P4R1/5P1P/5K2/8 w - - 2 49,506
k7/p7/8/Pp2p3/1P4RP/5PK1/3r4/8 b - - 2 50,538
8/pk6/8/Pp2p2P/1P4R1/5PK1/3r4/8 b - - 0 51,508
8/pk6/3r2R1/Pp2p2P/1P6/5PK1/8/8 b - - 2 52,561
8/pk6/6R1/Pp2p2P/1P1r4/5PK1/8/8 w - - 3 53,602
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 5,7
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/3B1N2/PPPN1PPP/R1BQK2R w KQkq - 4 7,4
r3kb1r/ppqnnppp/2p1p3/3pP3/3P2P1/P4N2/1PPN1P1P/R1BQ1RK1 b kq - 0 10,-57
r3kbr1/ppqnnppp/2p1p3/3pP1N1/3P2P1/P7/1PPN1P1P/R1BQ1RK1 b q - 2 11,-32
r3kbr1/ppqnnppp/4p3/2ppP1N1/3P2P1/P4Q2/1PPN1P1P/R1B2RK1 b q - 1 12,295
2kr1br1/ppqnnNpp/4p3/2ppP3/3P2P1/P4Q2/1PPN1P1P/R1B2RK1 b - - 0 13,264
3k1br1/ppqnn1pp/4p3/3pP3/3p2P1/P4Q2/1PPN1P1P/R1B2RK1 w - - 0 15,207
3k1br1/ppq1n1pp/4p3/3pn3/3Q2P1/P7/1PPN1P1P/R1B2RK1 b - - 0 16,31
3k1br1/ppq3pp/2n1p3/3pn3/3Q2P1/P7/1PPN1P1P/R1B2RK1 w - - 1 17,50
2k2br1/ppq3pp/2n1p3/3pn3/5QP1/P7/1PPN1P1P/1RB2RK1 b - - 4 18,-56
2k2br1/ppq4p/2n1p3/3pn1p1/5QP1/P7/1PPN1P1P/1RB2RK1 w - - 0 19,-43
2k2br1/ppq4p/2n1pQ2/3pn1p1/6P1/P7/1PPN1P1P/1RB2RK1 b - - 1 19,-335
2k2br1/ppq4p/4pQ2/3pn1p1/3n2P1/P7/1PPN1P1P/1RB1R1K1 b - - 3 20,-835
2k3rb/pp5p/4p3/3p2B1/2q3PP/P7/1PP2PK1/1R2R3 w - - 1 26,-785
2k3r1/pp5p/4p3/3p2B1/1P1b1PqP/P7/2P4K/1R2R3 b - - 0 28,-978
2k3r1/pp6/4p2p/3p2B1/1P3P1P/P5K1/2P1q3/6R1 w - - 1 32,-952
2k3r1/pp6/4p2p/3p2B1/1P3P1P/P5K1/2P1q1R1/8 b - - 2 32,-999
2k4r/pp6/4p3/3p2P1/1P5P/P3q3/2P3RK/8 w - - 1 35,-980
2k5/pp6/4p3/3p4/1P6/P3K3/2q5/8 w - - 0 41,-969
2k5/pp6/4p3/3p4/1P3K2/P7/2q5/8 b - - 1 41,-994
2k5/pp6/4p3/3p4/1P3K2/P7/1q6/8 w - - 2 42,-1021
2k5/pp6/4p3/1q1p4/5K2/P7/8/8 w - - 0 43,-819
2k5/pp6/4p3/1q1pK3/8/P7/8/8 b - - 1 43,-867
2k5/pp6/q3p3/3pK3/8/P7/8/8 w - - 2 44,-781
2k5/pp6/q3pK2/3p4/8/P7/8/8 b - - 3 44,-814
8/pp1k4/q3pK2/3p4/8/P7/8/8 w - - 4 45,-821
8/pp1k4/4pK2/3p4/8/q7/8/8 b - - 1 46,-851
8/p2k4/4p3/1p1pK3/8/q7/8/8 b - - 1 47,-774
8/3k4/4p3/ppKp4/8/6q1/8/8 b - - 1 49,-881
8/3k4/1K2p3/p2p4/1p6/6q1/8/8 b - - 1 50,-960
rn1q1b1r/pp1knppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQK2R w KQ - 4 7,119
rn1q1b1r/pp1knppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQ1RK1 b - - 5 7,80
rnkq1b1r/pp2nppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQ1RK1 w - - 6 8,213
r1kq1b1r/pp1n1ppp/2p1p3/3pPn2/3P4/8/PPPNBPPP/R1BQ1RK1 w - - 0 10,166
r1kq1b1r/pp1n1pp1/2p1p3/3pPn1p/3P4/5N2/PPP1BPPP/R1BQ1RK1 w - - 0 11,237
r1kq1b1r/pp1n1pp1/2p1p3/3pPn1p/2PP4/5N2/PP2BPPP/R1BQ1RK1 b - - 0 11,91
r1kq3r/pp1nbpp1/2p1p3/3pPn1p/2PP4/5N2/PP2BPPP/R1B1QRK1 b - - 2 12,-49
r1kq3r/pp1nbpp1/4p3/2ppPn1p/2PP4/5N2/PP2BPPP/R1B1QRK1 w - - 0 13,321
r1kq3r/pp2bpp1/1n2p3/2ppPn1p/2PP4/2Q2N2/PP2BPPP/R1B2RK1 w - - 2 14,321
r1k4r/pp3pp1/1n2p3/2bqPn1p/8/2Q2N2/PP2BPPP/R1B2RK1 w - - 0 16,575
r1k4r/pp3pp1/1nq1p3/2b1Pn1p/8/2Q2N2/PP2BPPP/R1BR2K1 w - - 2 17,390
r1k4r/pp3pp1/2q1p3/2bnPnBp/8/5N2/PP1QBPPP/R2R2K1 b - - 5 18,314
rk5r/pp3pp1/2q1p3/2bnPnBp/8/5N1P/PP1QBPP1/R2R2K1 b - - 0 19,191
rk5r/pp2bpp1/2q1p3/3nPnBp/8/5N1P/PP1QBPP1/R2R2K1 w - - 1 20,439
rk5r/pp2npp1/2q1p3/3nP2p/8/5N1P/PP1QBPP1/R2R2K1 w - - 0 21,477
rk5r/pp1qnpp1/4p3/3nP2p/8/5N1P/PP1QBPP1/2RR2K1 w - - 2 22,470
rk5r/pp1qnpp1/4p3/3nP2p/3N4/7P/PP1QBPP1/2RR2K1 b - - 3 22,301
rk6/pp1qnppr/4p3/3nP2p/3N4/7P/PP1QBPP1/2RR2K1 w - - 4 23,614
rk6/3q1ppr/p1B1p3/3nP2p/1P6/7P/P2Q1PP1/2RR2K1 b - - 0 26,841
rk6/q4ppr/p1B1p3/3nP2p/PP6/7P/3Q1PP1/2RR2K1 b - - 0 27,833
qk6/6pr/p3pp2/3nP2p/PP6/7P/3Q1PP1/2RR2K1 w - - 0 29,900
qk6/6p1/p3pp1r/3nP2p/PP6/7P/4QPP1/2RR2K1 w - - 2 30,941
4Q3/kq4p1/4pP1r/3n3p/P7/7P/5PP1/2RR2K1 b - - 0 33,705
8/kq4p1/4Qn1r/7p/P7/7P/5PP1/2RR2K1 b - - 0 34,718
8/kq4p1/4Q2r/7p/P3n3/7P/5PP1/2RR2K1 w - - 1 35,802
8/kq4p1/7r/4Q2p/P3n3/7P/5PP1/2RR2K1 b - - 2 35,903
3R4/kq4p1/7r/4Q2p/P3n3/7P/5PP1/2R3K1 w - - 5 37,968
3R4/kqR3p1/7r/4Q2p/P3n3/7P/5PP1/6K1 b - - 6 37,1368
8/1k4p1/2rR4/7p/P3Q3/7P/5PP1/6K1 b - - 2 40,1500
2kr1b1r/ppqnnppp/2p1p3/3pPb2/3P4/1N3N2/PPP1BPPP/R1BQ1RK1 w - - 8 9,362
2kr1b1r/ppqnnppp/2p1p3/3pPb2/3P1B2/1N3N2/PPP1BPPP/R2Q1RK1 b - - 9 9,40
2kr1b1r/p1qnnp1p/1pp1p1p1/3pPb2/3P1B2/1N3N2/PPP1BPPP/R2QR1K1 w - - 0 11,380
2kr1b1r/p1qnnp1p/1pp1p1p1/3pPb2/3P1B2/1N3N2/PPP1BPPP/2RQR1K1 b - - 1 11,129
2kr1b1r/p1qnn2p/1pp1ppp1/3pPb2/3P1B2/1N3N2/PPP1BPPP/2RQR1K1 w - - 0 12,504
2kr1b1r/2qnn2p/1pp1ppp1/p2pPb2/P2P1B2/1N3N2/1PP1BPPP/2RQR1K1 w - - 0 13,442
2kr1b1r/2q1n2p/4pP2/p1p2bp1/P1p5/5NB1/1P1QBPPP/2R1R1K1 b - - 0 18,382
2k2b1r/2B1n2p/4pP2/p1p2bp1/P1p5/5N2/1P1rBPPP/2R1R1K1 b - - 0 19,283
2k4r/4b2p/4p3/p1p1Bbp1/P1p5/5N2/1r2BPPP/2R1R1K1 b - - 1 21,612
2k2r2/4b2p/4p3/p1p1B1p1/P1p5/3b1N1P/3R1PP1/2R3K1 b - - 2 24,658
r7/4b2p/2k1p3/p1p1B1p1/P7/3R1PPP/8/2R3K1 w - - 1 32,710
r7/4b2p/2k1p3/p1p1B1p1/P7/3R1PPP/8/3R2K1 b - - 2 32,668
r7/7p/1k2p3/p1b1B1p1/P1R5/5PPP/6K1/3R4 b - - 0 35,723
8/4R2p/1k2p3/r5p1/P1R5/5PPP/6K1/8 b - - 0 39,906
8/7p/4R3/k4rp1/P1R5/5PPP/6K1/8 w - - 1 41,899
8/7p/4R3/k4rp1/P1R4P/5PP1/6K1/8 b - - 0 41,787
8/8/4R3/k1r4p/P3R3/5PP1/6K1/8 w - - 2 44,854
8/8/4R3/k1r4p/P3RP2/6P1/6K1/8 b - - 0 44,770
8/8/4R3/k1r4p/P3RP2/6P1/5K2/8 b - - 4 46,718
8/8/4R3/k6p/P3RP2/2r3P1/8/5K2 w - - 7 48,782
8/8/1k6/7R/P3RP2/6r1/4K3/8 b - - 0 50,703
3k4/7R/4R3/5P2/P7/r7/4K3/8 w - - 3 54,722
3k4/7R/8/5P2/P3R3/r7/4K3/8 b - - 4 54,729
3k4/7R/8/5P2/P3R3/4K3/r7/8 b - - 6 55,687
3k4/7R/8/5P2/P3R3/4K3/6r1/8 w - - 7 56,721
3k2r1/7R/5P2/8/P3R3/4K3/8/8 w - - 1 57,741
3k2r1/5P1R/8/8/P3R3/4K3/8/8 b - - 0 57,794
3k1r2/5P1R/8/8/P3R3/4K3/8/8 w - - 1 58,764
5r2/3k1P1R/P7/8/4R3/4K3/8/8 b - - 0 59,742
r2qkbnr/pp1n1ppp/4p3/2ppP3/3P4/3P1N2/PP1N1PPP/R1BQK2R w KQkq - 0 8,18
2r2rk1/pp2bppp/4pn2/2Pp4/3P4/1N6/PP3PPP/R1B1RK2 w - - 1 16,10
2r2rk1/pp2bppp/4pn2/2Pp4/3P4/1N2BP2/PP4PP/R3R1K1 b - - 2 18,-10
5rk1/pp2bppp/2r1pn2/2Pp4/3P4/1N2BP2/PP4PP/R3R1K1 w - - 3 19,143
2r3k1/pp2bppp/2r1pn2/2Pp4/P2P4/1N2BP2/1P2R1PP/R5K1 b - - 2 20,-16
2rb2k1/pp1n1ppp/2r1p3/P1Pp4/3P4/1NB2P2/1P2R1PP/4R1K1 b - - 6 24,-64
2r3k1/pp1n1ppp/2r1pb2/P1Pp4/3P4/1NB2P2/1P2R1PP/4R1K1 w - - 7 25,-43
5rk1/pp1n1ppp/2r1pb2/P1Pp4/3P4/1NB2P1P/1P2R1P1/4R1K1 w - - 1 26,-8
2r3k1/pp1n1ppp/2r1pb2/P1Pp4/3P4/1NB2PPP/1P2R3/4R1K1 w - - 1 27,-17
2r3k1/p2n1ppp/1pr1pb2/P1Pp4/3P4/2B2PPP/1P1NR3/4R1K1 w - - 0 28,-54
2r3k1/3n1ppp/1pr1pb2/P2p4/3P4/2B2PPP/1P1NR3/4R1K1 w - - 0 29,-61
2r3k1/3n1ppp/Ppr1pb2/3p4/3P4/2B2PPP/1P1NR3/4R1K1 b - - 0 29,-246
r5k1/3n1ppp/Ppr1pb2/3p4/3P4/2B2PPP/1P1NR3/4R1K1 w - - 1 30,-145
6k1/r2n1ppp/Ppr1pb2/3p4/3P4/2B2PPP/1P1N3R/R5K1 b - - 4 31,-320
6k1/r4ppp/npr1pb2/3p4/3P4/1NB2PPP/1P2R3/R5K1 b - - 1 33,-265
6k1/r4ppp/np2pb2/3p4/2rP4/1NB2PPP/1P6/R3R1K1 b - - 3 34,-211
6k1/r4pp1/npr1pb1p/3p4/1P1P4/2B2PPP/3N4/R1R3K1 w - - 1 38,-131
6k1/r4pp1/npr1pb1p/3p4/1P1P4/1NB2PPP/8/R1R3K1 b - - 2 38,-190
2r3k1/r4pp1/np2pb1p/3p4/1P1P4/1NB2PPP/8/R1R3K1 w - - 3 39,2
2r3k1/r4pp1/np2pb1p/1P1p4/3P4/1NB2PPP/8/R1R3K1 b - - 0 39,24
6k1/5pp1/Pp2pb1p/3p4/3P4/1Nr2PPP/8/R5K1 w - - 0 42,586
1Q6/5ppk/1p2pb1p/3p4/3P4/5rPP/8/3R2K1 b - - 1 45,517
1Q6/5ppk/4pb1p/1p1p4/3P2P1/7r/6K1/3R4 b - - 1 47,350
8/5pp1/4pbkp/2Qp4/1p1P2P1/1r6/3R2K1/8 b - - 1 50,370
8/5pp1/4pb1p/2Qp2k1/1p1P2P1/1r6/3R2K1/8 w - - 2 51,519
8/5Qp1/4pb2/3p4/3P2kp/8/6K1/8 b - - 0 56,457
8/5Qp1/4pb2/3p1k2/3P3p/8/6K1/8 w - - 1 57,459
8/5Qp1/4pb2/3p1k2/3P3p/5K2/8/8 b - - 2 57,483
8/8/6pk/3pQ3/8/5K2/8/8 b - - 0 64,654
8/6Q1/8/5kp1/8/6K1/8/8 b - - 1 68,512
r2qkb1r/pp1npppp/2p2nb1/8/3P1B2/5NN1/PPP2PPP/R2QKB1R w KQkq - 7 8,27
r2qkb1r/pp1npppp/2p5/3n4/3P1B2/3Q1NN1/PPP2PPP/R3K2R w KQkq - 1 10,36
r2qkb1r/pp1npppp/2p5/3n4/3P4/3Q1NN1/PPPB1PPP/R3K2R b KQkq - 2 10,37
r3kb1r/pp1n1ppp/1qp1p3/3n4/3P4/3Q1NN1/PPPB1PPP/2KR3R w kq - 0 12,73
r3kb1r/pp1n1ppp/1qp1p3/3n4/2PP4/3Q1NN1/PP1B1PPP/2KR3R b kq - 0 12,64
r3kb1r/pp1n1ppp/1qp1p3/8/2PP4/P2Q1NN1/1P3PPP/2KR3R w kq - 1 15,64
r3kb1r/pp1n1ppp/1qp1p3/2P5/3P4/P2Q1NN1/1P3PPP/2KR3R b kq - 0 15,31
2kr1b1r/ppqn1ppp/2p1p3/2P5/3PN3/PQ3N2/1P3PPP/2KR3R b - - 4 17,7
2kr1b1r/ppqn2pp/2p1p3/2P2p2/3P4/PQN2N2/1P3PPP/2KR3R b - - 1 18,48
2kr1b1r/pp1n2pp/2p1p3/2P2p2/3P1q2/PQN2N2/1P3PPP/1K1R3R b - - 3 19,178
2kr1b1r/pp1n3p/2p3p1/2P5/3PQ3/P1N2N2/1P3q1P/1K1R3R w - - 0 23,744
2kr1b1r/pp1n3p/2p3p1/2P5/3PQ3/P1N2N2/1P1R1q1P/1K5R b - - 1 23,692
2kr1b1r/pp1n3p/2p3p1/8/3P4/P1N1Q3/1P1N3P/1K5R w - - 2 26,812
2kr1b1r/pp1n3p/2p3p1/8/3PN3/P1N1Q3/1P5P/1K5R b - - 3 26,756
2kr3r/pp1nb2p/2p3p1/8/3PN3/P1N1Q3/1P5P/1K5R w - - 4 27,784
2kr3r/pp1nb2p/2p3p1/8/3PN3/P1N1Q3/1P5P/1K2R3 b - - 5 27,778
2kr1r2/pp1nb2p/2p3pQ/8/3PN3/P1N5/1P5P/1K2R3 b - - 7 28,679
2kr4/pp1n3p/2p2bpQ/8/3PN3/P1N1R3/KP5P/5r2 w - - 12 31,769
2k4r/pp1n3p/2p2bpQ/8/3PN3/P1NR4/KP5P/5r2 w - - 14 32,818
2k4r/pp1n3p/2p2bp1/8/3PNr2/P1NR3Q/KP5P/8 w - - 16 33,819
3k3r/pp1n3p/2p2bpQ/1N6/3P1r2/P1NR4/KP5P/8 b - - 21 35,618
3k3r/1p1n3p/p4bp1/1N6/3P3r/P2R4/KP1Q3P/8 w - - 0 38,695
2k1r3/1p1n3p/p4bp1/8/3P3r/P1NR4/1P1Q3P/1K6 w - - 4 40,464
2k1r3/1p1n4/p4bp1/7p/3P3r/P1NR4/1P3Q1P/1K6 w - - 0 41,618
2k1r3/1p1n4/p4bp1/7p/3P3r/P1N2R2/1P3Q1P/1K6 b - - 1 41,595
2k1r3/1p1nb3/p5p1/7p/3P3r/P1N2R2/1P3Q1P/1K6 w - - 2 42,675
2k1r3/1p1nbR2/p5p1/7p/3P3r/P1N5/1P3Q1P/1K6 b - - 3 42,663
3kr3/1p1nbR2/p7/6pp/3P3r/P1N5/1P2Q2P/1K6 w - - 2 44,627
5R2/2k5/pp2rn2/6Qp/3P3r/P7/1P5P/1K6 b - - 0 49,631
5R2/2k5/pp3n2/6Qp/3P3r/P7/KP5P/4r3 b - - 2 50,831
rn1qkb1r/pp2pppp/2p2nb1/8/3P1B2/5NN1/PPP2PPP/R2QKB1R b KQkq - 6 7,29
r2qkb1r/pp1npppp/2p2nb1/8/3P4/5NN1/PPPB1PPP/R2QKB1R b KQkq - 8 8,-37
r3kb1r/ppqnpppp/2p2nb1/8/3P4/5NN1/PPPB1PPP/R2QKB1R w KQkq - 9 9,-17
r3kb1r/ppqnpppp/2p2nb1/8/2BP4/5NN1/PPPB1PPP/R2QK2R b KQkq - 10 9,-38
2kr1b1r/p1qnpppp/2p2nb1/1p6/3P4/1B3NN1/PPPB1PPP/R2QK2R w KQ - 2 11,138
2kr1b1r/p1qnpppp/2p2nb1/1p6/3P4/1B3NN1/PPPB1PPP/R2Q1RK1 b - - 3 11,179
2kr1b1r/p1qnppp1/2p2nb1/1p5p/3P3N/1B4N1/PPPB1PPP/R2Q1RK1 b - - 1 12,192
2kr1b1r/p1qn2p1/2p2np1/1p2p2p/3P4/1B4N1/PPPB1PPP/R2Q1RK1 w - - 0 14,96
2kr3r/p1qn2p1/2p2np1/1pb4p/3B4/1B4N1/PPP2PPP/R2Q1RK1 w - - 1 16,-52
2kr3r/p1qn2p1/2p2np1/1p5p/3Q4/1B4NP/PPP2PP1/R4RK1 b - - 0 17,-224
2kr3r/p1q3p1/2p2np1/1p2n2p/3Q4/1B4NP/PPP2PP1/R4RK1 w - - 1 18,39
2kr3r/p1q3p1/2p2np1/1pQ1n2p/8/1B4NP/PPP2PP1/R4RK1 b - - 2 18,-27
2kr4/p1q3p1/2p2np1/1pQ1n3/7p/1B4NP/PPP2PP1/R5K1 w - - 0 21,74
2kr4/3n2p1/1pp1B1p1/8/1p1R3p/7P/PPP2KP1/5N2 b - - 1 27,588
2kr4/3n2p1/1pp1B3/6p1/1R5p/7P/PPP2KP1/5N2 b - - 0 28,662
2kr4/3n2p1/2p1B3/1p4p1/1R5p/7P/PPP2KP1/5N2 w - - 0 29,584
2kr4/3n2p1/2p1B3/1p4p1/6Rp/7P/PPP2KP1/5N2 b - - 1 29,570
8/3kr1p1/2p5/1p4R1/7p/7P/PPP2KP1/5N2 w - - 1 32,692
8/4r3/2pk4/1p4R1/8/6NP/PPP2K2/8 b - - 0 35,653
8/5r2/2pk4/1p4R1/8/6NP/PPP5/6K1 b - - 2 36,638
8/2k2r2/2p5/1p4R1/4N2P/8/PPP5/6K1 w - - 3 39,665
8/2k5/2p5/1p4RP/4Nr2/8/PPP5/6K1 w - - 1 40,679
8/2k5/2p2r2/1pN3RP/8/8/PPP5/6K1 w - - 3 41,789
8/2k5/2p4r/1p4RP/1P2N3/8/P1P5/6K1 b - - 2 42,667
8/8/1kp4r/1p5P/1P2N1R1/8/P1P5/6K1 w - - 7 45,668
8/1k6/2p4r/1p5P/1P2N2R/6K1/P1P5/8 b - - 12 47,745
2k5/8/2p4r/1p5P/1P2NKR1/8/P1P5/8 w - - 17 50,743
2k5/7r/2p5/1p4KP/1P2N1R1/8/P1P5/8 w - - 19 51,772
2k5/7P/2p5/1p6/1P2NKR1/8/r1P5/8 b - - 0 53,1500
r2qkb1r/pp2pppp/2p2nb1/4B3/3P4/6N1/PPP2PPP/R2QKB1R b KQkq - 0 9,-65
r3kb1r/pp2pppp/2p1qn2/4B3/3P4/3Q2N1/PPP2PPP/R3K2R b KQkq - 0 12,-11
2kr1b1r/pp2pppp/2p1qn2/4B3/3P4/3Q2N1/PPP2PPP/R4RK1 b - - 2 13,44
2kr1b1r/pp2ppp1/2p1q3/4B2p/3PQ3/8/PPP2PPP/R4RK1 b - - 0 15,-460
2kr1b1r/pp2p1p1/2p1qp2/4B2p/3PQ3/8/PPP2PPP/R4RK1 w - - 0 16,-437
2k2b1r/pp2pqp1/2p5/3rP2p/P3Q3/4R3/1PP2PPP/R5K1 b - - 0 19,-598
2k2b2/pp2pqp1/2p4r/4P2p/P3Q3/3P4/1P3PPP/R5K1 b - - 0 21,-441
2k2b2/pp2pq2/2p4r/P3P2p/4Q1pP/3P4/1P3PP1/R5K1 b - - 0 23,-505
